21,BDB50050400,-11.164
65,BDB19385,-10.559
66,BDB50067869,-10.544
123,BDB18771,-10.218
158,BDB50015707,-10.048
166,BDB50158569,-10.033
251,BDB50232529,-9.785
261,BDB50058420,-9.761
288,BDB50065297,-9.704
320,BDB50049156,-9.646
368,BDB18246,-9.538
418,BDB50141011,-9.461
419,BDB50066495,-9.458
471,BDB50031864,-9.378
481,BDB20676,-9.360
515,BDB50066490,-9.317
521,BDB50141012,-9.310
563,BDB50031865,-9.235
570,BDB50111607,-9.229
598,BDB50054512,-9.192
674,BDB50031871,-9.064
680,BDB31776,-9.050
710,BDB50051923,-8.999
743,BDB31777,-8.956
751,BDB50111592,-8.947
811,BDB50316122,-8.854
843,BDB50128535,-8.803
844,BDB50145797,-8.798
850,BDB18045,-8.781
872,BDB50288820,-8.748
883,BDB50288821,-8.719
933,BDB50041929,-8.617
939,BDB50058517,-8.601
949,BDB50041935,-8.566
953,BDB18497,-8.559
1114,BDB50029770,-8.005
1140,BDB50026300,-7.843
1191,BDB50111585,-7.565
1209,BDB50111589,-7.331
1239,BDB50029035,-1.568
